ID	PCMP_EBneg1.Bacterial.kraken	PCMP_EBneg2.Bacterial.kraken	PCMP_L001.Bacterial.kraken	PCMP_L002.Bacterial.kraken	PCMP_L006.Bacterial.kraken	PCMP_L011.Bacterial.kraken	PCMP_L018.Bacterial.kraken	PCMP_L039.Bacterial.kraken	PCMP_L041.Bacterial.kraken	PCMP_L051.Bacterial.kraken	PCMP_L063.Bacterial.kraken	PCMP_L066.Bacterial.kraken	PCMP_L069.Bacterial.kraken	PCMP_L077.Bacterial.kraken	PCMP_L079.Bacterial.kraken	PCMP_L089.Bacterial.kraken	PCMP_L104.Bacterial.kraken	PCMP_L108.Bacterial.kraken	PCMP_L111.Bacterial.kraken	PCMP_L113.Bacterial.kraken	PCMP_L117.Bacterial.kraken	PCMP_L118.Bacterial.kraken	PCMP_L1.Bacterial.kraken	PCMP_NL087.Bacterial.kraken	PCMP_NL090.Bacterial.kraken	PCMP_NL091.Bacterial.kraken	PCMP_NL093.Bacterial.kraken	PCMP_NL099.Bacterial.kraken	PCMP_NL100.Bacterial.kraken	PCMP_NL101.Bacterial.kraken	PCMP_NL102.Bacterial.kraken	PCMP_NL105.Bacterial.kraken	PCMP_NL108.Bacterial.kraken	PCMP_NL114.Bacterial.kraken	PCMP_NL119.Bacterial.kraken	PCMP_NL121.Bacterial.kraken	PCMP_NL122.Bacterial.kraken	PCMP_NL125.Bacterial.kraken	PCMP_NL128.Bacterial.kraken	PCMP_NL129.Bacterial.kraken	PCMP_NL130.Bacterial.kraken	PCMP_NL131.Bacterial.kraken	PCMP_NL132.Bacterial.kraken	PCMP_T1.Bacterial.kraken	PCMP_vibriolambda1.Bacterial.kraken	PCMP_vibriolambda2.Bacterial.kraken	PCMP_X2.Bacterial.kraken	PCMP_Z2.Bacterial.kraken	PCMP_EBneg1.Bacterial.kraken	PCMP_EBneg2.Bacterial.kraken	PCMP_L001.Bacterial.kraken	PCMP_L002.Bacterial.kraken	PCMP_L006.Bacterial.kraken	PCMP_L011.Bacterial.kraken	PCMP_L018.Bacterial.kraken	PCMP_L039.Bacterial.kraken	PCMP_L041.Bacterial.kraken	PCMP_L051.Bacterial.kraken	PCMP_L063.Bacterial.kraken	PCMP_L066.Bacterial.kraken	PCMP_L069.Bacterial.kraken	PCMP_L077.Bacterial.kraken	PCMP_L079.Bacterial.kraken	PCMP_L089.Bacterial.kraken	PCMP_L104.Bacterial.kraken	PCMP_L108.Bacterial.kraken	PCMP_L111.Bacterial.kraken	PCMP_L113.Bacterial.kraken	PCMP_L117.Bacterial.kraken	PCMP_L118.Bacterial.kraken	PCMP_L1.Bacterial.kraken	PCMP_NL087.Bacterial.kraken	PCMP_NL090.Bacterial.kraken	PCMP_NL091.Bacterial.kraken	PCMP_NL093.Bacterial.kraken	PCMP_NL099.Bacterial.kraken	PCMP_NL100.Bacterial.kraken	PCMP_NL101.Bacterial.kraken	PCMP_NL102.Bacterial.kraken	PCMP_NL105.Bacterial.kraken	PCMP_NL108.Bacterial.kraken	PCMP_NL114.Bacterial.kraken	PCMP_NL119.Bacterial.kraken	PCMP_NL121.Bacterial.kraken	PCMP_NL122.Bacterial.kraken	PCMP_NL125.Bacterial.kraken	PCMP_NL128.Bacterial.kraken	PCMP_NL129.Bacterial.kraken	PCMP_NL130.Bacterial.kraken	PCMP_NL131.Bacterial.kraken	PCMP_NL132.Bacterial.kraken	PCMP_T1.Bacterial.kraken	PCMP_vibriolambda1.Bacterial.kraken	PCMP_vibriolambda2.Bacterial.kraken	PCMP_X2.Bacterial.kraken	PCMP_Z2.Bacterial.kraken
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Desulfurococcus|s__Desulfurococcus_amylolyticus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Sulfolobus|s__Sulfolobus_solfataricus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Archaeoglobus|s__Archaeoglobus_profundus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Geoglobus|s__Geoglobus_acetivorans	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Haloarcula|s__Haloarcula_marismortui	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halorhabdus|s__Halorhabdus_tiamatea	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halorhabdus|s__Halorhabdus_utahensis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Natronomonas|s__Natronomonas_moolapensis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halalkalicoccus|s__Halalkalicoccus_jeotgali	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halobacterium|s__Halobacterium_hubeiense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
