# Pathway	PCMP_EBneg1.cat.filtered2_Abundance	PCMP_EBneg2.cat.filtered2_Abundance	PCMP_L001.cat.filtered2_Abundance	PCMP_L002.cat.filtered2_Abundance	PCMP_L006.cat.filtered2_Abundance	PCMP_L011.cat.filtered2_Abundance	PCMP_L018.cat.filtered2_Abundance	PCMP_L039.cat.filtered2_Abundance	PCMP_L041.cat.filtered2_Abundance	PCMP_L051.cat.filtered2_Abundance	PCMP_L063.cat.filtered2_Abundance	PCMP_L066.cat.filtered2_Abundance	PCMP_L069.cat.filtered2_Abundance	PCMP_L077.cat.filtered2_Abundance	PCMP_L079.cat.filtered2_Abundance	PCMP_L089.cat.filtered2_Abundance	PCMP_L1.cat.filtered2_Abundance	PCMP_L104.cat.filtered2_Abundance	PCMP_L108.cat.filtered2_Abundance	PCMP_L111.cat.filtered2_Abundance	PCMP_L113.cat.filtered2_Abundance	PCMP_L117.cat.filtered2_Abundance	PCMP_L118.cat.filtered2_Abundance	PCMP_NL087.cat.filtered2_Abundance	PCMP_NL090.cat.filtered2_Abundance	PCMP_NL091.cat.filtered2_Abundance	PCMP_NL093.cat.filtered2_Abundance	PCMP_NL099.cat.filtered2_Abundance	PCMP_NL100.cat.filtered2_Abundance	PCMP_NL101.cat.filtered2_Abundance	PCMP_NL102.cat.filtered2_Abundance	PCMP_NL105.cat.filtered2_Abundance	PCMP_NL108.cat.filtered2_Abundance	PCMP_NL114.cat.filtered2_Abundance	PCMP_NL119.cat.filtered2_Abundance	PCMP_NL121.cat.filtered2_Abundance	PCMP_NL122.cat.filtered2_Abundance	PCMP_NL125.cat.filtered2_Abundance	PCMP_NL128.cat.filtered2_Abundance	PCMP_NL129.cat.filtered2_Abundance	PCMP_NL130.cat.filtered2_Abundance	PCMP_NL131.cat.filtered2_Abundance	PCMP_NL132.cat.filtered2_Abundance	PCMP_T1.cat.filtered2_Abundance	PCMP_X2.cat.filtered2_Abundance	PCMP_Z2.cat.filtered2_Abundance	PCMP_vibriolambda1.cat.filtered2_Abundance	PCMP_vibriolambda2.cat.filtered2_Abundance
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	22	169	2715	1453	1119	4311	1988	2700	1424	945	2903	3810	922	3098	2073	2023	4458	4968	3922	3275	4181	1876	3796	1638	1021	3536	4774	23	3047	5164	2878	1204	2065	1532	1072	3355	2949	527	1560	2423	313	405	4188	4992	3732	4328	1643	0
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	0	0	0	0	9	0	0	0	0	0	4	5	0	0	0	0	4	0	0	0	0	24	0	0	0	0	29	0	0	0	0	0	0	2	0	0	17	4	0	0	0	0	0	0	0	0	0	0
7ALPHADEHYDROX-PWY: cholate degradation (bacteria, anaerobic)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AEROBACTINSYN-PWY: aerobactin biosynthesis	0	0	0	0	4	0	7	0	0	0	3	6	2	4	10	0	62	0	0	13	0	56	0	2	0	0	56	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	70	46	56	0	0
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	0	0	40	16	111	70	17	24	9	35	27	21	7	23	40	78	16	137	75	42	0	15	57	59	19	141	163	0	9	67	112	0	75	23	77	130	79	60	94	87	0	0	40	32	18	0	0	0
ANAEROFRUCAT-PWY: homolactic fermentation	0	0	2960	2430	2141	3636	1879	3275	4252	3582	3805	5126	2461	4027	3738	3434	4683	3943	4216	2887	3812	1781	4582	3745	2398	4114	8324	51	3614	5960	3846	3265	3313	1928	3514	5802	3320	2134	2028	4359	481	512	5355	4858	3858	4296	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	4	0	5101	3323	2473	5716	4462	5329	6103	4589	4244	6502	4162	5741	5666	5116	5080	4677	5301	4704	5376	2378	5810	5528	2800	4819	10782	81	5739	6972	6479	4258	4100	2399	4281	7253	4363	2779	3445	5580	902	666	5969	5572	4262	4964	0	0
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	0	0	888	127	293	626	579	2476	332	346	557	824	167	380	524	359	719	1203	759	540	288	486	1337	256	130	1488	1021	0	432	1754	649	106	485	340	198	725	565	151	536	315	0	79	787	1093	869	905	0	0
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	0	0	0	0	48	2	2	0	3	0	5	10	7	6	0	0	2376	8	0	5	0	33	0	20	0	294	71	0	0	0	7	0	0	7	0	0	20	0	0	0	0	0	0	2610	1984	2279	0	0
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis	14	104	317	337	558	281	105	285	686	464	112	783	327	322	558	356	161	292	489	393	657	19	354	607	332	386	1221	3	343	262	591	807	429	366	370	768	366	231	253	410	164	88	354	203	144	206	0	0
ARGORNPROST-PWY: arginine, ornithine and proline interconversion	0	0	344	428	744	335	71	230	1583	327	399	1059	442	859	317	975	1673	444	648	402	320	13	423	1468	414	328	1498	20	343	422	698	1024	833	328	614	1051	1695	419	332	1690	375	108	2564	740	570	746	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	17	146	3054	617	835	2518	2873	4499	635	666	2795	2565	543	1203	1171	2293	4360	4297	2884	2277	3295	1386	4107	1836	318	3743	2724	66	1667	5324	1973	610	1159	885	773	2692	2390	409	2626	1662	199	214	3048	5012	3948	4469	1484	0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	18	131	1491	502	769	1324	1351	2684	515	569	1690	2022	407	964	979	1754	3846	3303	1873	1733	2349	1147	2991	1666	210	3221	2302	66	1141	3531	1745	236	889	683	711	2182	1908	317	1430	1142	217	167	1898	4494	3684	3978	0	0
