PATHWAY SORTORDER	BIOCHEMICAL	SUPER PATHWAY	SUB PATHWAY	COMP ID	PLATFORM	CHEMICAL ID
417	(N(1) + N(8))-acetylspermidine	Amino Acid	Polyamine Metabolism	57814	LC/MS Pos Early	100016038
2228	1-(1-enyl-oleoyl)-GPE (P-18:1)*	Lipid	Lysoplasmalogen	44621	LC/MS Neg	100005372
2225	1-(1-enyl-palmitoyl)-GPC (P-16:0)*	Lipid	Lysoplasmalogen	52474	LC/MS Neg	100002875
2226	1-(1-enyl-palmitoyl)-GPE (P-16:0)*	Lipid	Lysoplasmalogen	39270	LC/MS Neg	100003000
2230	1-(1-enyl-stearoyl)-GPE (P-18:0)*	Lipid	Lysoplasmalogen	39271	LC/MS Pos Late	100003001
4739	1,2,3-benzenetriol sulfate (2)	Xenobiotics	Chemical	48762	LC/MS Neg	100006374
3699	1,3,7-trimethylurate	Xenobiotics	Xanthine Metabolism	34404	LC/MS Neg	100001397
4613	1,3-propanediol	Xenobiotics	Chemical	45434	LC/MS Pos Early	100001175
3697	1,7-dimethylurate	Xenobiotics	Xanthine Metabolism	34400	LC/MS Neg	100001399
1525	10-hydroxystearate	Lipid	Fatty Acid, Monohydroxy	47123	LC/MS Neg	100005852
1537	12,13-DiHOME	Lipid	Fatty Acid, Dihydroxy	38395	LC/MS Neg	62
2737	12-dehydrocholate	Lipid	Secondary Bile Acid Metabolism	44644	LC/MS Neg	100001072
1513	13-HODE + 9-HODE	Lipid	Fatty Acid, Monohydroxy	37752	LC/MS Neg	100002196
1272	13-methylmyristate (i15:0)	Lipid	Fatty Acid, Branched	38293	LC/MS Neg	100002344
1275	15-methylpalmitate (i17:0)	Lipid	Fatty Acid, Branched	38768	LC/MS Neg	100002945
2617	16a-hydroxy DHEA 3-sulfate	Lipid	Androgenic Steroids	38168	LC/MS Neg	100002126
1509	16-hydroxypalmitate	Lipid	Fatty Acid, Monohydroxy	39609	LC/MS Neg	100002953
1278	17-methylstearate (i19:0)	Lipid	Fatty Acid, Branched	38296	LC/MS Neg	100002356
2248	1-linoleoylglycerol (18:2)	Lipid	Monoacylglycerol	27447	LC/MS Neg	100001040
2022	1-linoleoyl-GPC (18:2)	Lipid	Lysophospholipid	34419	LC/MS Pos Late	100001395
2068	1-linoleoyl-GPE (18:2)*	Lipid	Lysophospholipid	32635	LC/MS Neg	100001570
2101	1-linoleoyl-GPG (18:2)*	Lipid	Lysophospholipid	54885	LC/MS Neg	100009227
2109	1-linoleoyl-GPI (18:2)*	Lipid	Lysophospholipid	36594	LC/MS Neg	100001778
2245	1-margaroylglycerol (17:0)	Lipid	Monoacylglycerol	34391	LC/MS Neg	100001429
83	1-methyl-4-imidazoleacetate	Amino Acid	Histidine Metabolism	32350	LC/MS Pos Early	100001208
3342	1-methyladenine	Nucleotide	Purine Metabolism, Adenine containing	1527	LC/MS Pos Early	54
3346	N1-methyladenosine	Nucleotide	Purine Metabolism, Adenine containing	15650	LC/MS Pos Early	1242
