BIOCHEMICAL	SUPER PATHWAY	SUB PATHWAY	L051	L066	L089	L039	L079	L001	L011	L063	L069	L077	L108	L117	L118	L006	L111	L002	L018	L041	L104	L060	L065	L099	L102	L105	L115	L043	L044	L056	L057	L062	L064	L081	L082	L083	L086	L091	NL057	L093	L098	L096	L101	L106	L114	L116	L109	NL005	NL007	NL019	NL018	NL022	NL023	NL040	NL048	NL049	NL050	NL058	NL059	NL073	NL074	NL064	NL069	NL070	NL071	NL034	NL055	NL087	NL090	NL091	NL093	NL099	NL100	NL101	NL102	NL105	NL108	NL114	NL125	NL119	NL121	NL122	NL128	NL129	NL130	NL131	NL132
(N(1) + N(8))-acetylspermidine	Amino Acid	Polyamine Metabolism	0.3043	0.4159	0.0634	1.1589	1.8708	0.2917	59.0567	1.5692	0.6778	0.0634	4.1546	5.7578	0.0634	0.8110	0.7847	0.8091	110.5344	1.3520	0.0706	4.0943	0.0634	0.0634	0.0634	0.4871	1.1047	0.0634	1.1404	1.7518	0.2589	0.0873	2.9955	0.1958	0.0634	0.0634	2.0531	0.0634	6.2264	0.8953	5.6413	0.2772	0.0634	0.4553	0.8152	47.0376	17.0508	0.0634	0.0634	2.1315	5.7091	0.0634	0.1310	0.0634	16.2538	6.7343	2.8361	0.0634	0.1669	0.0892	0.0634	1.5191	1.1549	0.0634	0.0634	1.8261	121.3244	0.0634	0.0634	0.0634	0.0634	0.0634	0.0634	0.0634	0.0634	0.2207	0.0634	0.0634	0.0634	0.1610	0.2031	0.4292	0.7139	0.0634	0.0634	0.3264	0.2533
1-(1-enyl-oleoyl)-GPE (P-18:1)*	Lipid	Lysoplasmalogen	0.1740	0.4995	0.0295	0.1685	2.3622	0.1490	3.5659	0.0295	1.6350	0.0295	4.1670	0.0295	0.0295	0.3731	1.5130	1.1315	3.1352	0.4170	0.0632	9.0658	0.0295	0.0295	0.0295	1.2898	1.1669	0.0295	1.2841	0.0807	0.0783	0.0295	0.5714	20.3732	0.0295	0.0745	1.1863	0.0295	0.7660	1.1709	3.9338	0.8685	0.0295	0.0295	0.0565	0.4742	3.6119	0.0295	0.0295	9.5586	0.2748	0.0295	3.6595	0.0295	11.7267	0.5959	1.3122	0.0295	0.1528	0.1653	0.0295	4.0175	0.0419	0.0295	0.0295	6.8287	4.5777	0.0295	0.0295	0.3185	0.0295	0.0295	0.0295	0.3848	0.1242	0.0295	0.0295	0.0295	0.0295	0.0295	0.2509	0.0295	1.6231	0.0295	0.0295	3.7064	0.0295
1-(1-enyl-palmitoyl)-GPC (P-16:0)*	Lipid	Lysoplasmalogen	0.1504	0.1504	0.1504	0.1504	0.1504	0.1504	0.6850	0.1504	0.1504	0.1504	0.5770	48.1773	0.1504	0.1504	1.5114	0.1504	0.8373	0.1504	0.1504	1.4359	0.1504	0.1504	0.1504	2.2592	0.1504	0.1504	0.4856	0.1504	0.1504	0.1504	0.7013	7.2852	0.1504	0.1504	0.3987	0.1504	0.1504	0.1504	4.1267	1.0760	0.1504	0.1504	0.1504	0.1504	0.1504	0.1504	0.1504	1.0000	0.1504	0.1504	0.1666	0.1504	1.3426	0.1504	0.5319	0.1504	0.1504	0.1504	0.1504	0.5694	0.1504	0.1504	0.1504	0.9862	3.4730	0.1504	0.1504	0.1504	0.1504	0.1504	0.1504	0.1504	0.1504	0.1504	0.1504	0.1504	0.1504	0.1504	0.1504	0.1504	1.0126	0.1504	0.1504	1.0265	0.1504
1-(1-enyl-palmitoyl)-GPE (P-16:0)*	Lipid	Lysoplasmalogen	0.2956	0.5924	0.0283	2.0084	1.0528	0.5842	2.5426	0.3351	3.0131	0.0283	4.8672	27.4011	0.0283	1.0124	7.2407	3.5534	6.4502	1.9800	0.2176	26.8196	0.0283	0.0283	0.0382	4.1800	2.3477	0.0283	4.6734	0.1217	0.2303	0.1086	2.0703	31.6521	0.2929	0.7989	5.7795	0.0674	5.7690	3.1645	3.2549	5.7807	0.0283	0.1779	0.3281	0.7023	0.5626	0.0283	0.0283	17.9447	3.4006	0.8943	5.2184	0.1193	10.1989	0.1801	2.4807	0.1600	0.6074	1.0000	0.0283	15.1981	1.4883	0.0283	0.0283	4.6379	22.7610	0.0283	0.2240	0.3991	0.0283	0.0283	0.0283	0.6223	0.4350	0.0743	0.2369	0.2293	0.0283	0.0283	0.5707	0.0376	6.5191	0.0341	0.0283	13.6496	0.0349
1-(1-enyl-stearoyl)-GPE (P-18:0)*	Lipid	Lysoplasmalogen	1.1051	1.6055	0.9598	0.9447	1.3499	1.6356	1.7701	1.6505	1.5605	0.6149	2.3530	7.0923	0.3784	1.5865	0.4758	2.0067	2.9189	1.0995	0.6820	2.6150	1.1550	0.7077	0.8067	1.0000	0.7946	1.8449	1.1637	1.2608	1.4813	1.7186	1.8075	4.9895	1.8953	1.4510	1.3587	1.5451	1.3710	1.0893	0.9012	0.8500	0.9853	0.8995	0.4543	0.4976	0.9497	1.4310	1.7140	3.5344	1.2410	1.1348	1.9646	1.5158	2.9928	0.9566	1.3185	0.4239	1.4963	0.7460	0.5448	1.2968	0.4302	0.7860	0.5533	1.1442	2.4996	0.6349	0.2717	0.4691	0.4199	0.5263	0.7868	0.4435	0.7995	0.8162	0.3804	0.5155	0.6206	0.3371	0.8543	0.4536	0.6903	0.3997	0.3756	1.7618	0.7612
1,2,3-benzenetriol sulfate (2)	Xenobiotics	Chemical	0.1562	0.1562	0.1562	0.1562	0.1562	0.1562	16.4646	2.2750	0.1562	0.1562	0.3238	0.1562	0.1562	0.1562	0.1562	0.1562	5.8970	0.1562	0.1562	0.1562	0.1562	0.9125	0.1562	0.1562	0.1562	0.1562	0.1562	1.7752	0.1562	0.1562	0.1562	0.1562	0.1562	0.1562	0.1562	1.0000	0.1562	0.1562	0.3426	0.1562	0.1562	1.2582	2.5988	15.7080	5.7156	0.1562	0.1562	0.1562	0.1562	0.1562	0.1562	0.8813	0.1562	0.1562	0.1562	0.1562	0.4695	0.1562	0.1562	0.2552	0.1562	0.1562	0.1562	0.7905	0.2916	1.0406	0.1562	0.1562	0.1562	0.1562	0.1562	0.1562	0.1562	0.1562	0.1562	0.1562	0.1562	0.1562	4.7634	0.1562	0.1562	0.1562	0.2614	0.1562	0.1562
1,3,7-trimethylurate	Xenobiotics	Xanthine Metabolism	0.4539	0.1394	0.1394	1.2643	0.1394	2.5466	5.9619	0.8454	0.1394	0.6386	0.6668	0.3761	0.1394	0.1394	1.4557	0.1394	0.1987	0.1394	3.4519	0.3835	0.1394	0.7915	0.1394	0.1635	0.1394	0.1394	2.6070	0.1394	4.3713	0.1394	0.4718	3.3035	0.1394	0.1394	0.2247	0.3050	0.1909	0.1394	1.0205	0.1394	0.1394	0.1394	2.3544	1.5422	10.1712	1.3427	0.1394	1.6201	1.5661	0.8219	1.0000	0.1394	34.5430	4.2887	0.1394	1.5995	0.1394	0.1394	0.1394	0.1394	0.1394	0.1394	0.1394	7.9555	0.1394	0.1394	0.1394	0.5626	0.1394	0.1394	0.1394	0.1394	0.1394	0.1394	0.1394	0.1394	0.1394	0.1394	0.7917	0.8594	0.5109	0.1394	0.1394	0.1394	0.1394
1,3-propanediol	Xenobiotics	Chemical	0.2399	0.2399	0.2399	0.2399	0.4139	0.2399	25.2597	0.2399	0.2399	0.2399	1.2473	2.1966	0.2399	1.3619	0.2399	0.5900	105.3681	0.2399	1.2772	0.2399	0.2399	0.3763	0.2399	0.2399	0.2399	0.2399	0.2399	0.2399	0.2399	0.2399	0.2399	0.2399	0.2399	0.2399	0.2399	0.2399	0.5579	0.3769	0.4155	0.2399	0.2399	0.2399	0.6354	11.3423	0.2399	0.2399	0.2399	0.2399	1.3502	0.2399	0.2399	0.2399	1.0000	0.2399	0.2399	0.2399	0.2399	0.2399	0.2399	0.2399	0.2399	0.2399	0.2399	0.2399	46.7721	0.2399	0.7769	0.2399	0.2399	0.2399	0.2399	0.2399	0.2399	0.2399	0.2399	0.2399	0.2399	0.2399	0.2399	0.2399	0.2399	0.2399	0.2399	0.2399	0.2399
1,7-dimethylurate	Xenobiotics	Xanthine Metabolism	1.1854	0.0588	0.0488	2.3439	0.3435	1.0056	20.5221	2.7768	0.0488	0.8349	1.1224	1.3189	0.0488	0.6794	0.0688	0.0960	1.5989	0.0488	3.0564	0.5996	0.0488	1.4183	0.0488	0.2904	0.4010	0.2108	4.4267	0.0488	1.1381	0.1857	2.3875	0.0488	0.0488	0.1776	1.2078	1.0316	1.2342	0.0488	2.3987	0.0488	0.0488	0.4652	5.2867	4.9331	11.7406	2.8101	0.0488	1.3560	2.5275	0.9202	0.0488	0.1042	13.8733	4.9983	0.0488	0.0488	0.0599	0.4480	0.0488	0.0807	0.1631	0.0488	0.0700	6.4784	0.6426	0.0488	0.0488	1.0000	0.0488	0.0488	0.0488	0.3431	0.1064	0.0488	0.2275	0.1337	0.0488	0.0488	1.7423	0.0488	1.5771	0.0488	0.2091	0.2217	0.0488
10-hydroxystearate	Lipid	Fatty Acid, Monohydroxy	0.4813	1.6737	0.1500	11.5799	3.9861	37.6368	47.5852	1.5549	0.6107	0.7509	14.1375	61.6888	11.2458	0.6053	1.0868	0.1442	18.7227	1.5162	102.9272	1.1463	0.1417	0.2868	8.1451	1.2473	0.4624	0.2775	0.6063	5.8845	6.1891	0.2601	6.3582	1.7321	0.4415	6.0989	6.4614	0.1587	21.7860	0.6134	80.8642	1.0000	0.4861	0.2783	0.3381	41.6515	14.8586	5.3678	1.1622	1.3645	15.4040	8.9723	0.2156	0.2385	27.6248	20.7341	1.5074	0.1936	0.1968	0.3678	0.2050	0.7501	4.8793	0.1921	0.2329	2.0691	8.6399	0.2985	0.3710	7.4713	0.1181	0.1342	0.2682	1.2260	6.9782	0.9998	0.5255	0.9257	0.1819	0.3984	3.2350	3.3060	0.4026	0.6324	0.0716	0.8024	0.2444
