Phylum	Class	Genus	Color
Actinobacteria	Actinobacteria	Arthrobacter	#1a7564
Actinobacteria	Actinobacteria	Bifidobacterium	#408000
Actinobacteria	Actinobacteria	Blastococcus	#b6a5cc
Actinobacteria	Actinobacteria	Corynebacterium	#30b34a
Actinobacteria	Actinobacteria	Gardnerella	#6D4C9A
Actinobacteria	Actinobacteria	Lawsonella	#7f7094
Actinobacteria	Actinobacteria	Micrococcus	#a5d68f
Actinobacteria	Actinobacteria	Mycobacterium	#638055
Actinobacteria	Actinobacteria	Rhodococcus	#adff00
Actinobacteria	Actinobacteria	Curtobacterium	#cdff66
Actinobacteria	Actinobacteria	Dietzia	#97d9a4
Actinobacteria	Actinobacteria	Promicromonospora	#cbecd1
Actinobacteria	Actinobacteria	Actinoalloteichus	#d0edd5
Actinobacteria	Actinobacteria	Pseudopropionibacterium	#99d8a4
Actinobacteria	Actinobacteria	Rothia	#62c373
Actinobacteria	Coriobacteria	Atopobium	#e7292a
Actinobacteria	Coriobacteria	Eggerthella	#f39494
Bacteroidetes	Bacteroidia	Porphyromonas	#ccbda3
Bacteroidetes	Bacteroidia	Coprobacter	#f1e3d3
Bacteroidetes	Bacteroidia	Alistipes	#ffedcc
Bacteroidetes	Bacteroidia	Bacteroides	#b25d00
Bacteroidetes	Bacteroidia	Parabacteroides	#c98d4c
Bacteroidetes	Bacteroidia	Prevotella	#ffa500
Bacteroidetes	Bacteroidia	Alloprevotella	#ffdb99
Bacteroidetes	Bacteroidia	Macellibacteroides	#e9d1b7
Bacteroidetes	Sphingobacteria	Adhaeribacter	#ffc966
Bacteroidetes	Flavobacteria	Cloacibacterium	#99783d
Firmicutes	Bacilli	Aeribacillus	#b5bcc4
Firmicutes	Bacilli	Aerococcus	#f7ecf4
Firmicutes	Bacilli	Enterococcus	#e3ecf6
Firmicutes	Bacilli	Gemella	#a240cf
Firmicutes	Bacilli	Lactobacillus	#e59400
Firmicutes	Bacilli	Staphylococcus	#c1bedf
Firmicutes	Bacilli	Lactococcus	#d2bedf
Firmicutes	Bacilli	Streptococcus	#7980bb
Firmicutes	Bacilli	Carnobacterium	#d6d8ea
Firmicutes	Bacilli	Bacillus	#efbe66
Firmicutes	Bacilli	Pediococcus	#a9c5e3
Firmicutes	Bacilli	Weissella	#e3ecf6
Firmicutes	Clostridia	Anaerococcus	#4af0c9
Firmicutes	Clostridia	Blautia	#2c9078
Firmicutes	Clostridia	Clostridium	#ccf9f9
Firmicutes	Clostridia	Clostridium_IV	#c6d6d6
Firmicutes	Clostridia	Clostridium_sensu_stricto	#dbfafa
Firmicutes	Clostridia	Clostridium_XI	#c5e1e1
Firmicutes	Clostridia	Clostridium_XlVa	#9eabab
Firmicutes	Clostridia	Clostridium_XVIII	#768080
Firmicutes	Clostridia	Dialister	#ADCB0B
Firmicutes	Clostridia	Eubacterium	#e22194
Firmicutes	Clostridia	Faecalibacterium	#ccf9f9
Firmicutes	Clostridia	Finegoldia	#96a8ba
Firmicutes	Clostridia	Flavonifractor	#1188ff
Firmicutes	Clostridia	Lachnoclostridium	#2a7777
Firmicutes	Clostridia	Megasphaera	#86D1DF
Firmicutes	Clostridia	Peptoniphilus	#6a849d
Firmicutes	Clostridia	Ruminococcus	#4cd6d6
